Family	Success	Comments	Tree
Kwadi-Khoe	SUCCESS	GA: converged after 937 iterations out of 10000 with residual SSE error 2.22808805684512e-05	((('Deti [i-shg][w-det][a-1287][g-shua1254]':0.00788,'Khoe [i-xuu][w-kxo][a-652][g-kxoe1243]':0.0142,'//Ani [i-hnh][w-ani][a-651][g-anii1246]':0.0052)'Kalahari [i-][w-][a-][g-]':0.0114,'Nharo [i-nhr][w-nro][a-606][g-naro1249]':0.00494,('Kwadi [i-kwz][w-][a-151][g-kwad1244]':0.0215)'Kwadi [i-][w-][a-][g-]':0.0215,('Korana [i-kqz][w-krn][a-739][g-kora1292]':0.0289,'Nama [i-naq][w-kho][a-199][g-nama1264]':0.00504)'Khoekhoe [i-][w-][a-][g-]':0.0167)'Kwadi-Khoe [i-][w-][a-][g-]':1);
Ju	SUCCESS	GA: converged after 325 iterations out of 10000 with residual SSE error 1.26866596180215e-07	(('Ju|`hoan [i-ktz][w-juh][a-1832][g-juho1239]':0.014,'!Xu [i-knw][w-xun][a-579][g-kung1261]':0.00054,'!Kung [i-knw][w-xun][a-148][g-kung1261]':6.03e-05)'Ju [i-][w-][a-][g-]':1);
Hadza	FAIL	GA: too few languages	
Sandawe	FAIL	GA: too few languages	
Kordofanian	SUCCESS	GA: converged after 243 iterations out of 10000 with residual SSE error 5.37119515113373e-06	(('Tima [i-tms][w-tia][a-3177][g-tima1241]':0.0054,'Jomang [i-tlo][w-jom][a-2583][g-talo1250]':0.002,'Otoro [i-otr][w-otr][a-2263][g-otor1240]':0.00142,'Masakin [i-jle][w-msk][a-1931][g-ngil1242]':0.00239,'Lafofa [i-laf][w-laf][a-1863][g-lafo1243]':0.00371,'Katla [i-kcr][w-ktl][a-1717][g-katl1237]':0.00513,'Rashad [i-ras][w-ori-ras][a-1387][g-tega1236]':0.00414,'Tiro [i-tic][w-][a-743][g-tira1254]':0.00186,'Moro [i-mor][w-mro][a-742][g-moro1285]':0.0015,'Orig [i-ras][w-ori-ras][a-323][g-tega1236]':0.00412)'Kordofanian [i-][w-][a-][g-]':1);
Kwa	SUCCESS	GA: converged after 1034 iterations out of 10000 with residual SSE error 9.59139636618478e-05	(('Avikam [i-avi][w-avk][a-3137][g-avik1243]':0.0175,'Dangme [i-ada][w-][a-3046][g-adan1247]':0.00553,'Ga [i-gaa][w-ga][a-1514][g-gaaa1244]':0.00562,('Lelemi [i-lef][w-llm][a-1878][g-lele1264]':0.00226,'Kposo [i-kpo][w-kpo][a-1805][g-ikpo1238]':0.00327,'Avatime [i-avn][w-avt][a-941][g-avat1244]':0.00149)'Ka-Togo [i-][w-][a-][g-]':0.00336,('Logba [i-lgq][w-][a-2973][g-logb1245]':0.00474,'Akan [i-aka][w-akn][a-2645][g-akan1250]':0.00614,'Nkonya [i-nko][w-nkn][a-2181][g-nkon1245]':0.00496,'Chumburung [i-ncu][w-cum][a-2146][g-chum1261]':0.00569,'Ega [i-ega][w-ega][a-1322][g-egaa1242]':0.0176,'Anufo [i-cko][w-anu][a-1157][g-anuf1239]':0.0155,'Baule [i-bci][w-ble][a-974][g-baou1238]':0.0159,'Anyi [i-any][w-ayi][a-901][g-anyi1245]':0.0092)'Potou-Tano [i-][w-][a-][g-]':0.000523,'Alladian [i-ald][w-ald][a-875][g-alla1248]':0.0144,'Adioukrou [i-adj][w-adi][a-835][g-adio1239]':0.0143,'Abidji [i-abi][w-abd][a-823][g-abid1235]':0.0147,('Gungbe [i-guw][w-guw][a-3149][g-gunn1250]':0.0103,'Aja {Benin} [i-ajg][w-ajg][a-3045][g-ajab1235]':0.00481,'Wemenugbe [i-wem][w-wmn][a-2715][g-weme1239]':0.00966,'Fongbe [i-fon][w-fon][a-1492][g-fonn1241]':0.00463,'Ewe {Anglo} [i-ewe][w-ewa-ewe][a-1289][g-ewee1241]':0.00348,'Ewe [i-ewe][w-ewa-ewe][a-75][g-ewee1241]':0.00407)'Gbe [i-][w-][a-][g-]':0.00463)'Kwa [i-][w-][a-][g-]':1);
Mande	SUCCESS	GA: converged after 1830 iterations out of 10000 with residual SSE error 0.000181108731541702	(('Wan [i-wan][w-wna][a-3187][g-wann1242]':0.00956,'Toura [i-neb][w-][a-2864][g-tour1242]':0.00493,'Beng [i-nhb][w-bnq][a-2165][g-beng1286]':0.014,'Mano [i-mev][w-man][a-1971][g-mann1248]':0.00848,'Guro [i-goa][w-gro][a-1554][g-guro1248]':0.00884,'Busa [i-bqp][w-bus][a-1059][g-busa1253]':0.0505,'Boko [i-bqc][w-bok][a-1058][g-boko1266]':0.0476,'Bisa [i-bib][w-bis][a-1016][g-biss1248]':0.0281,'Yaoure [i-yre][w-][a-507][g-yaou1238]':0.012,'Dan [i-dnj][w-][a-490][g-dann1241]':0.00685)'East Mande [i-][w-][a-][g-]':0.00454,('Jalonke [i-yal][w-][a-2983][g-yalu1240]':0.00986,'Vai [i-vai][w-vai][a-2683][g-vaii1241]':0.0137,'Susu [i-sus][w-sus][a-2493][g-susu1250]':0.0178,'Soninke [i-snk][w-snn][a-2458][g-soni1259]':0.0214,'Mauka [i-mxx][w-mka][a-2113][g-maho1249]':0.00747,'Maninka [i-emk][w-mnk][a-2044][g-east2426]':0.00967,'Maninka {Western} [i-mlq][w-maw][a-2032][g-west2500]':0.0202,'Mende [i-men][w-mde][a-1978][g-mend1266]':0.0116,'Loma [i-lom][w-lma][a-1910][g-loma1260]':0.00961,'Loko [i-lok][w-lok][a-1909][g-loko1255]':0.0124,'Koranko [i-knk][w-kko][a-1745][g-kura1250]':0.0079,'Xasonga [i-kao][w-xas][a-1699][g-xaas1235]':0.0248,'Bandi [i-bza][w-bnd][a-1521][g-band1352]':0.0104,'Dyula [i-dyu][w-dyu][a-1454][g-dyul1238]':0.0162,'Mandinka {Gambian} [i-mnk][w-mdk-mkg][a-1359][g-mand1436]':0.0291,'Bozo {Tigemaxo} [i-boz][w-boz][a-1054][g-tiey1235]':0.0232,'Bobo Fing [i-bbo][w-][a-972][g-nort2819]':0.0175,'Jeli [i-jek][w-][a-649][g-jeri1242]':0.0118,'Bambara [i-bam][w-bam][a-516][g-bamb1269]':0.0122,'Mandinka [i-mnk][w-mdk-mkg][a-172][g-mand1436]':0.0284)'West Mande [i-][w-][a-][g-]':0.00403)'Mande [i-][w-][a-][g-]';
North Atlantic	SUCCESS	GA: converged after 1155 iterations out of 10000 with residual SSE error 0.00106654103426135	(('Diola-Kasa [i-csk][w-csk][a-3144][g-jola1262]':0.0138,'Bandial [i-bqj][w-][a-3026][g-band1340]':0.0133,'Wolof [i-wol][w-wlf][a-2735][g-nucl1347]':0.0153,'Noon [i-snf][w-noo][a-2455][g-noon1242]':0.0166,'Ndut [i-ndv][w-ndt][a-2150][g-ndut1239]':0.0185,'Manjaku [i-mfv][w-mjk][a-1977][g-mand1419]':0.0117,'Mankanya [i-knf][w-mkn][a-1929][g-mank1251]':0.0127,'Fula {Nigerian} [i-fuv][w-fni][a-1511][g-nige1253]':0.0942,'Fulfulde {Maasina} [i-ffm][w-fum][a-1508][g-maas1239]':0.0314,'Fula {Burkina Faso} [i-fuh][w-fbf-fli][a-1507][g-west2454]':0.0447,'Fula {Guinean} [i-fuf][w-fgu][a-1506][g-pula1262]':0.0128,'Fula {Senegal} [i-fuc][w-fma-fus][a-1504][g-pula1263]':0.0166,'Palor [i-fap][w-plr][a-1487][g-palo1243]':0.0174,'Ful {Liptako} [i-fuh][w-fbf-fli][a-1292][g-west2454]':0.0445,'Fula {Mauritanian} [i-fuc][w-fma-fus][a-1291][g-pula1263]':0.0167,'Fulani {Gombe} [i-fub][w-fgo-fua][a-1290][g-adam1253]':0.0951,'Konyagi [i-cou][w-kgi][a-1173][g-wame1240]':0.0114,'Basari [i-bsc][w-bsr][a-1071][g-bass1258]':0.0127,'Balanta [i-bjt][w-][a-1027][g-bala1302]':0.0126,'Biafada [i-bif][w-bfd][a-1018][g-biaf1240]':0.0147,'Diola-Fogny [i-dyo][w-dio][a-524][g-jola1263]':0.0125,'Fula [i-fub][w-fgo-fua][a-80][g-adam1253]':0.0953)'North Atlantic [i-][w-][a-][g-]':1);
Ijoid	SUCCESS	GA: converged after 100 iterations out of 10000 with residual SSE error 1.98061872044114e-15	(('Defaka [i-afn][w-def][a-845][g-defa1248]':0.00649,'Ijo [i-ijc][w-ijo][a-305][g-izon1238]':0.00498)'Ijoid [i-][w-][a-][g-]':1);
Adamawa-Ubangi	SUCCESS	GA: converged after 1188 iterations out of 10000 with residual SSE error 0.000413166383074161	(('Mayogo [i-mdm][w-myg][a-3164][g-mayo1261]':0.0342,'Munzumbo [i-moj][w-mnz][a-3162][g-monz1249]':0.0134,'Mambai [i-mcs][w-mmi][a-3161][g-mamb1294]':0.0201,'Mono [i-mnh][w-][a-3088][g-mono1270]':0.0121,'Waja [i-wja][w-][a-3041][g-waja1259]':0.0295,'Ngbaka Ma`bo [i-nbm][w-nbm][a-2913][g-ngba1284]':0.0134,'Zande [i-zne][w-zan][a-2802][g-zand1248]':0.0285,'Yakoma [i-yky][w-ykm][a-2778][g-yako1252]':0.0148,'Tupuri [i-tui][w-tpr][a-2636][g-tupu1244]':0.0191,'Nzakara [i-nzk][w-nza][a-2235][g-nzak1247]':0.0161,'Lua [i-nie][w-lua][a-2170][g-niel1243]':0.0154,'Ngbaka [i-nga][w-ngb][a-2157][g-ngba1285]':0.014,'Ndogo [i-ndz][w-ndg][a-2151][g-ndog1248]':0.0337,'Mondunga [i-ndt][w-mga][a-2149][g-ndun1249]':0.0194,'Samba Leko [i-ndi][w-sle][a-2148][g-samb1305]':0.0262,'Mumuye [i-mzm][w-mum][a-2096][g-nucl1240]':0.0274,'Mundu [i-muh][w-mdu][a-2095][g-mund1326]':0.0441,'Mundang [i-mua][w-mdg][a-2093][g-mund1325]':0.0198,'Ma [i-msj][w-ma][a-2083][g-made1252]':0.0305,'Mba [i-mfc][w-mba][a-1974][g-mbaa1245]':0.0302,'Mbodomo [i-gso][w-][a-1961][g-sout2785]':0.0164,'Mbum [i-mdd][w-mbm][a-1956][g-mbum1254]':0.016,'Linda [i-liy][w-lnd][a-1892][g-band1344]':0.0122,'Kosop [i-kia][w-ksp][a-1753][g-kimm1246]':0.018,'Koh {Lakka} [i-xuo][w-klk][a-1749][g-kuoo1238]':0.0132,'Gbaya Kara [i-gya][w-gbk][a-1586][g-nort2775]':0.0143,'Gula Iro [i-glj][w-gir][a-1548][g-gula1265]':0.0188,'Doyayo [i-dow][w-doy][a-1382][g-doya1240]':0.021,'Dongo [i-doo][w-dgo][a-1380][g-dong1290]':0.044,'Day [i-dai][w-day][a-1214][g-dayy1236]':0.0132,'Barambu [i-brm][w-bbu][a-1065][g-bara1361]':0.0303,'Baka {Cameroon} [i-bkc][w-bak][a-1029][g-baka1272]':0.0267,'Ngbandi [i-nbw][w-ndi][a-605][g-sout2784]':0.0163,(((('Dii [i-dur][w-ygd][a-489][g-diii1241]':0.00337)'Adamawa-Ubangi [i-][w-][a-][g-]':0.00337)'Group3 [i-][w-][a-][g-]':0.00337)'Group2 [i-][w-][a-][g-]':0.00337)'Group1 [i-][w-][a-][g-]':0.00337,'Sango [i-sag][w-san][a-466][g-sang1328]':0.0113,'Gbeya [i-gbp][w-gbb][a-85][g-gbay1287]':0.0111)'Adamawa-Ubangi [i-][w-][a-][g-]':1);
